queja,tipo,resumen,sentimiento,contestación
Estoy completamente frustrado porque al intentar retirar dinero el cajero se tragó mi tarjeta sin motivo alguno. Esto es inaceptable y necesito una solución inmediata. ¡Es mi dinero y no puedo acceder a él!,DRD_,El cliente se queja de que un cajero automático retuvo su tarjeta sin motivo.,Negativo_,"Sentimos mucho el problema que ha experimentado con nuestro cajero automático. Por favor, acuda a la sucursal más cercana con su identificación para que podamos recuperar su tarjeta y acceder a su cuenta. Tomaremos medidas para asegurar que esto no vuelva a suceder."
Quisiera expresar mi insatisfacción con el tiempo que tardan en reflejarse los depósitos hechos por cheque en mi cuenta. Afecta mi flujo de efectivo y mi capacidad de hacer pagos a tiempo.,DRD_,El cliente se queja de la demora en el reflejo de depósitos por cheque.,Neutro_,Entendemos su preocupación respecto al tiempo de procesamiento de los cheques. Estamos trabajando para mejorar nuestros tiempos de procesamiento. Le agradecemos su feedback y su paciencia mientras mejoramos nuestros servicios.
¡Es inadmisible que haya sido cobrado por un retiro que nunca realicé! Esto es un error grave de su parte y exijo que se corrija inmediatamente.,DRD_,El cliente se queja de ser cobrado por un retiro que nunca realizó.,Negativo_,"Comprendemos su preocupación y la seriedad de la situación. Vamos a revisar de inmediato sus transacciones y corregir cualquier error encontrado. Por favor, proporcione cualquier detalle adicional que pueda ayudarnos en esta investigación."
He notado que el límite de retiro se ha reducido sin previo aviso. Esto limita mi acceso al efectivo cuando más lo necesito.,DRD_,El cliente se queja de la reducción no anunciada del límite de retiro.,Neutro_,"Lamentamos cualquier inconveniente que esta modificación en el límite de retiro haya causado. Esta medida se tomó considerando la seguridad de nuestros clientes, pero entendemos su situación y estamos aquí para encontrar una solución que se ajuste a sus necesidades."
Es completamente inaceptable que mi depósito directo no se haya procesado a tiempo. Dependo de esos fondos para mis gastos diarios.,DRD_,El cliente se queja de la tardanza en el procesamiento de su depósito directo.,Negativo_,"Pedimos disculpas por el retraso en el procesamiento de su depósito directo. Estamos investigando la causa de este retraso para asegurarnos de que no vuelva a ocurrir. Por favor, póngase en contacto con nuestro equipo de soporte para discutir cómo podemos asistirle en este momento."
Quiero reportar un problema con un cajero automático que no me entregó el monto solicitado pero sí lo descontó de mi cuenta.,DRD_,"El cliente se queja de no recibir el monto solicitado en un retiro, aunque el monto fue descontado.",Neutro_,Es muy importante para nosotros asegurar la precisión de las transacciones en nuestros cajeros automáticos. Vamos a investigar su caso de inmediato para resolver el problema y ajustar su saldo correctamente. Le agradecemos por hacernos saber sobre este incidente.
¡Es la tercera vez este mes que un depósito realizado a través de su aplicación móvil no se registra de inmediato! ¿Cómo se supone que maneje mis finanzas así?,DRD_,El cliente se queja de problemas recurrentes con el registro de depósitos en la aplicación móvil.,Negativo_,Lamentamos los problemas que ha tenido con nuestra aplicación móvil. Estamos constantemente trabajando en mejorar la fiabilidad y la velocidad de los registros de depósitos. Vamos a revisar su caso específico para solucionar este problema lo antes posible.
"He observado que los cajeros automáticos de su banco a menudo están fuera de servicio, lo que me impide realizar operaciones necesarias.",DRD_,El cliente se queja de que los cajeros automáticos a menudo están fuera de servicio.,Neutro_,Agradecemos que nos haya informado sobre la disponibilidad de nuestros cajeros automáticos. Es nuestro compromiso asegurar que nuestros clientes puedan acceder a sus fondos en todo momento. Estamos tomando medidas para mejorar la fiabilidad de nuestros cajeros.
"No puedo creer que aún no acepten depósitos de cheques a través de su aplicación móvil. Esto me obliga a ir físicamente a la sucursal, lo cual es muy inconveniente.",DRD_,El cliente se queja de la falta de capacidad para depositar cheques a través de la aplicación móvil.,Negativo_,Entendemos su frustración por no poder depositar cheques a través de nuestra aplicación móvil. Estamos trabajando para introducir esta funcionalidad pronto y agradecemos su paciencia mientras hacemos esta mejora disponible para nuestros clientes.
"¡Estoy furioso! Me prometieron que cerrar mi cuenta sería un proceso simple y rápido, pero ha pasado más de un mes y todavía se muestra como activa. ¿Qué está pasando?",ACG_,El cliente se queja de la incapacidad del banco para cerrar su cuenta de manera oportuna.,Negativo_,Entendemos su frustración y nos disculpamos por los inconvenientes causados. Parece que hubo un error en el proceso de cierre de su cuenta. Nos ocuparemos de esto inmediatamente y confirmaremos con usted una vez que la cuenta haya sido cerrada satisfactoriamente.
"He intentado cambiar mi dirección en línea varias veces sin éxito. El sistema sigue mostrando mi dirección antigua, lo que me preocupa por temas de seguridad y privacidad.",ACG_,El cliente se queja de no poder actualizar su dirección en el sistema del banco.,Neutro_,"Lamentamos los problemas que ha encontrado al intentar actualizar su dirección. Vamos a revisar su cuenta y actualizar su dirección manualmente. Por favor, proporciónenos su nueva dirección a través de un canal seguro para proceder."
"¿Por qué es tan complicado acceder a la información de mi cuenta en línea? Cada vez que intento iniciar sesión, el sistema me bloquea o me pide que cambie mi contraseña.",ACG_,El cliente se queja de problemas para acceder a su cuenta en línea debido a bloqueos frecuentes y solicitudes de cambio de contraseña.,Negativo_,Nos preocupa escuchar que está teniendo dificultades para acceder a su cuenta en línea. Parece ser un problema con las medidas de seguridad. Vamos a revisar su caso específico y encontrar una solución que facilite su acceso sin comprometer la seguridad.
"Recientemente, he notado cargos desconocidos en mi cuenta que no reconozco. He intentado comunicarme con el banco varias veces sin recibir una respuesta clara.",ACG_,El cliente se queja de cargos desconocidos en su cuenta y la falta de respuesta clara del banco.,Neutro_,Nos tomamos muy en serio los cargos no autorizados en las cuentas de nuestros clientes. Vamos a investigar estos cargos de inmediato y le proporcionaremos una respuesta detallada. También revisaremos nuestro proceso de comunicación para asegurarnos de que reciba la asistencia que necesita de manera oportuna.
"Es inaceptable que después de solicitar chequeras nuevas hace más de tres semanas, todavía no las he recibido. ¿Dónde están?",ACG_,El cliente se queja de no recibir las chequeras solicitadas después de tres semanas.,Negativo_,Lamentamos el retraso en la entrega de sus chequeras. Vamos a verificar el estado de su solicitud y asegurarnos de que las chequeras le sean enviadas lo antes posible. Agradecemos su comprensión y paciencia.
"He estado tratando de configurar una cuenta conjunta con mi cónyuge, pero el proceso ha sido increíblemente lento y confuso. Nos falta claridad sobre los documentos requeridos.",ACG_,El cliente se queja de la lentitud y confusión en el proceso de configuración de una cuenta conjunta.,Neutro_,Entendemos que el proceso de apertura de una cuenta conjunta puede parecer complejo. Vamos a proporcionarle una lista detallada de los documentos requeridos y un representante personal para guiarlo a través del proceso y resolver cualquier duda que tenga.
"¡Absolutamente frustrante! Cada vez que llamo al servicio al cliente, me pasan de un departamento a otro sin resolver mi problema de acceso a la banca móvil.",ACG_,El cliente se queja de ser transferido repetidamente entre departamentos sin resolver su problema de acceso a la banca móvil.,Negativo_,Nos disculpamos por la experiencia frustrante al intentar resolver su problema con la banca móvil. Vamos a asignarle un especialista en servicio al cliente que seguirá su caso hasta que se resuelva completamente. Nos pondremos en contacto con usted directamente para solucionar este inconveniente.
"Intenté actualizar mis datos personales en la sucursal local, pero el personal no parecía saber cómo hacerlo. Esto es preocupante.",ACG_,El cliente se queja de la falta de conocimiento del personal de la sucursal para actualizar sus datos personales.,Neutro_,"Lamentamos cualquier confusión o inconveniente que haya experimentado en nuestra sucursal. Nos aseguraremos de que nuestro personal reciba la formación adecuada para manejar este tipo de solicitudes eficazmente en el futuro. Mientras tanto, podemos ayudarle a actualizar sus datos directamente a través de este canal."
"Después de solicitar específicamente no recibir más marketing por correo electrónico, sigo recibiendo promociones. Esto es una falta de respeto a mi solicitud.",ACG_,El cliente se queja de seguir recibiendo marketing por correo electrónico a pesar de haber solicitado lo contrario.,Negativo_,Respetamos su decisión de no recibir marketing por correo electrónico y nos disculpamos por cualquier error que haya ocurrido al procesar su solicitud. Vamos a asegurarnos de que se retire de inmediato de nuestras listas de correo y revisaremos nuestros procesos para evitar que esto suceda en el futuro.
¡Es absolutamente inaceptable! Me han cobrado múltiples tarifas por fondos insuficientes por pagos que ustedes mismos retrasaron. ¡Exijo que se corrijan estos cargos de inmediato!,PCF_,El cliente se queja de múltiples tarifas por fondos insuficientes debido a retrasos en pagos por parte del banco.,Negativo_,Entendemos su frustración y nos disculpamos por los errores en el procesamiento de sus pagos. Revisaremos su caso de inmediato para corregir cualquier cargo indebido y asegurarnos de que esta situación no se repita. Agradecemos su comprensión.
"Recibí una notificación de fondos insuficientes cuando intenté hacer una compra, a pesar de haber hecho un depósito el mismo día. ¿Por qué no se reflejó mi depósito a tiempo?",PCF_,El cliente se queja de recibir una notificación de fondos insuficientes a pesar de haber hecho un depósito el mismo día.,Neutro_,Lamentamos cualquier confusión causada por el tiempo de procesamiento de su depósito. Revisaremos los tiempos de actualización de los saldos en su cuenta y nos aseguraremos de comunicarle cualquier demora futura. Gracias por señalar este asunto.
"Me veo obligado a expresar mi disgusto extremo por cómo su sistema manejó un cheque que deposité, causándome cargos por fondos insuficientes en transacciones subsiguientes. Es vergonzoso.",PCF_,El cliente se queja de cargos por fondos insuficientes debido al manejo inadecuado de un cheque depositado.,Negativo_,"Nos disculpamos sinceramente por el manejo de su cheque depositado y los inconvenientes que esto ha causado. Vamos a investigar el asunto de inmediato, corregir cualquier error en su cuenta y revisar nuestros procesos para evitar que situaciones similares ocurran en el futuro."
"Descubrí que mi cuenta había entrado en sobregiro sin mi conocimiento previo, lo que me llevó a incurrir en varios cargos. No recibí ninguna alerta previa de que esto estaba ocurriendo.",PCF_,"El cliente se queja de entrar en sobregiro sin previo aviso, incurriendo en cargos.",Neutro_,"Es importante para nosotros mantenerlo informado sobre el estado de su cuenta. Implementaremos mejoras en nuestras alertas de sobregiro para asegurar que reciba notificaciones a tiempo en el futuro. Mientras tanto, revisaremos los cargos aplicados y ajustaremos cualquier error."
No puedo creer que haya sido penalizado con cargos por sobregiro cuando claramente había suficiente saldo en mi cuenta para cubrir mis transacciones. ¡Esto es un robo!,PCF_,El cliente se queja de ser penalizado con cargos por sobregiro a pesar de tener saldo suficiente.,Negativo_,Nos tomamos muy en serio las preocupaciones de nuestros clientes sobre cargos indebidos. Investigaremos su reclamo para identificar y corregir cualquier error en el cálculo de su saldo y los cargos por sobregiro. Le pedimos disculpas por cualquier molestia que esto haya causado.
"Después de un retiro, mi cuenta mostró un saldo incorrecto, lo que llevó a cargos por fondos insuficientes en una compra posterior. Necesito una explicación.",PCF_,"El cliente se queja de un saldo incorrecto después de un retiro, resultando en cargos por fondos insuficientes.",Neutro_,"Agradecemos que nos haya informado sobre este error en el saldo de su cuenta. Vamos a revisarlo y corregir cualquier discrepancia. Además, revisaremos los cargos por fondos insuficientes aplicados para asegurarnos de que sean justos y precisos."
"Increíblemente, me han cobrado tarifas por sobregiro en una cuenta que supuestamente tiene protección contra esto. Parece que su servicio no funciona como se anuncia.",PCF_,El cliente se queja de tarifas por sobregiro en una cuenta con protección contra sobregiros.,Negativo_,"Lamentamos oír que ha enfrentado cargos por sobregiro a pesar de tener protección contra esto. Revisaremos su cuenta para asegurarnos de que la protección contra sobregiros esté activa y funcionando correctamente, y ajustaremos los cargos donde sea necesario. Agradecemos su paciencia."
"Me frustra que mi solicitud de aumento de límite de sobregiro haya sido ignorada, resultando en cargos inesperados por fondos insuficientes para pagos importantes.",PCF_,"El cliente se queja de que su solicitud de aumento de límite de sobregiro fue ignorada, causando cargos inesperados.",Neutro_,Nos disculpamos por no atender su solicitud de aumento de límite de sobregiro a tiempo. Vamos a revisar su solicitud de inmediato y nos pondremos en contacto con usted para discutir cómo podemos satisfacer mejor sus necesidades financieras y resolver los cargos que se han aplicado.
Es absolutamente inaceptable que me cobren por un sobregiro causado por un cheque que ustedes retrasaron en procesar. Exijo que se eliminen estos cargos de inmediato.,PCF_,El cliente se queja de cargos por sobregiro debido a un retraso del banco en procesar un cheque.,Negativo_,Entendemos su preocupación y nos disculpamos por cualquier error de nuestro lado en el procesamiento de su cheque. Revisaremos su caso de inmediato para corregir el error y eliminar cualquier cargo por sobregiro que haya sido injustamente aplicado. Valoramos su negocio y su confianza en nosotros.
Realicé una transferencia a un amigo el pasado viernes y aún no se ha reflejado en su cuenta. Esto es preocupante ya que contábamos con ese dinero para una compra importante.,RPE_,El cliente se queja de una transferencia no reflejada en la cuenta del destinatario.,Neutro_,Entendemos su preocupación por la demora en la transferencia. Revisaremos la transacción para asegurarnos de que se complete correctamente y le informaremos sobre el estado de la misma. Agradecemos su paciencia mientras resolvemos este asunto.
¿Por qué se me cobró una tarifa por recibir dinero de otra cuenta bancaria? No estaba informado de esta tarifa y me parece injusto.,RPE_,El cliente se queja de una tarifa inesperada por recibir dinero.,Negativo_,"Nos disculpamos si no estaba claramente informado sobre las tarifas aplicables por recibir dinero de otras cuentas bancarias. Revisaremos su transacción y las políticas de comunicación de tarifas para asegurarnos de que nuestros clientes estén bien informados. Por favor, permítanos revisar su caso específico."
Hice un pago a un proveedor y se duplicó por un error en su sistema. Necesito que se revierta uno de los pagos lo antes posible.,RPE_,El cliente se queja de un pago duplicado debido a un error del sistema.,Neutro_,Gracias por señalar este error. Vamos a revisar la transacción duplicada y procesaremos la reversión del pago incorrecto de manera inmediata. Valoramos su paciencia mientras solucionamos este problema.
"Intenté enviar dinero a través de su servicio de transferencia internacional, pero el destinatario nunca recibió los fondos. Esto es inaceptable y requiere una solución urgente.",RPE_,El cliente se queja de que una transferencia internacional no fue recibida por el destinatario.,Negativo_,Entendemos la urgencia de este asunto y la importancia de que las transferencias internacionales se completen sin problemas. Iniciaremos una investigación inmediata para rastrear los fondos y asegurarnos de que lleguen a su destinatario lo antes posible. Le mantendremos informado a lo largo de este proceso.
He notado que los pagos realizados a través de su plataforma móvil tardan más en procesarse de lo anunciado. ¿Pueden explicar por qué ocurre esto?,RPE_,El cliente se queja de la demora en el procesamiento de pagos a través de la plataforma móvil.,Neutro_,Agradecemos su feedback y lamentamos cualquier demora experimentada al usar nuestra plataforma móvil. Vamos a investigar el motivo de estas demoras y tomaremos las medidas necesarias para mejorar la velocidad de procesamiento. Su experiencia como cliente es muy importante para nosotros.
"¡Es frustrante! Cada vez que intento programar un pago futuro, recibo un error y tengo que ingresar la información nuevamente.",RPE_,El cliente se queja de errores al intentar programar pagos futuros.,Negativo_,Nos disculpamos por los errores que ha encontrado al intentar programar pagos futuros. Entendemos lo frustrante que puede ser y revisaremos nuestro sistema para corregir este problema. Gracias por su paciencia mientras trabajamos en una solución.
Recibí menos dinero del esperado en una transferencia reciente. Parece que se aplicaron tarifas ocultas de las cuales no estaba consciente.,RPE_,El cliente se queja de recibir menos dinero del esperado debido a tarifas ocultas.,Neutro_,Nos tomamos muy en serio la transparencia en las tarifas y lamentamos cualquier confusión. Vamos a revisar su transacción para clarificar cualquier tarifa aplicada y asegurarnos de que esté completamente informado sobre cómo se manejan las transferencias. Nos pondremos en contacto con detalles específicos.
"He intentado varias veces configurar un beneficiario en su plataforma en línea, pero el sistema no guarda la información, obligándome a reingresarla cada vez.",RPE_,El cliente se queja de que el sistema no guarda la información del beneficiario.,Negativo_,Es preocupante escuchar que está teniendo dificultades para guardar la información de sus beneficiarios en nuestra plataforma. Investigaremos este problema técnico de inmediato y trabajaremos para asegurarnos de que pueda gestionar sus beneficiarios de manera eficiente. Agradecemos su comprensión.
Quiero expresar mi insatisfacción con la limitada cantidad de monedas disponibles para enviar dinero internacionalmente. Esto limita mis opciones y complica mis transacciones.,RPE_,El cliente se queja de la limitada selección de monedas para envíos de dinero internacionales.,Neutro_,Agradecemos sus comentarios sobre nuestra selección de monedas para transferencias internacionales. Estamos constantemente evaluando la adición de más monedas para mejorar nuestros servicios y satisfacer las necesidades de nuestros clientes. Su opinión es valiosa para nosotros y será tomada en cuenta.
"Intenté retirar dinero de un cajero automático y aunque la transacción no se completó, el saldo fue deducido de mi cuenta.",ATM_,El cliente se queja de un saldo deducido por una transacción no completada en un cajero automático.,Neutro_,Es preocupante escuchar sobre su experiencia. Iniciaremos una investigación para rastrear la transacción y reembolsar cualquier monto deducido incorrectamente. Le mantendremos informado sobre el progreso de esta situación.
Mi tarjeta de débito fue retenida por un cajero automático sin motivo aparente y ahora no puedo acceder a mis fondos.,ATM_,El cliente se queja de que su tarjeta de débito fue retenida por un cajero automático.,Negativo_,"Entendemos lo frustrante que esto debe ser para usted. Por favor, visite la sucursal más cercana con una identificación para que podamos asistirle en recuperar su tarjeta y asegurarnos de que tenga acceso a sus fondos lo antes posible."
Noté cargos no autorizados en mi tarjeta de débito. Necesito que estos se reviertan inmediatamente y se investigue cómo ocurrieron.,ATM_,El cliente se queja de cargos no autorizados en su tarjeta de débito.,Negativo_,"Tomamos muy en serio los cargos no autorizados. Bloquearemos su tarjeta actual para prevenir más fraudes y emitiremos una nueva. Además, iniciaremos una investigación de los cargos y procederemos con el reembolso de cualquier transacción no autorizada."
"Cada vez que intento usar un cajero automático, recibo un mensaje de error. Esto me ha ocurrido en múltiples ubicaciones.",ATM_,El cliente se queja de recibir mensajes de error al usar cajeros automáticos.,Neutro_,Lamentamos los problemas que está enfrentando al usar los cajeros automáticos. Vamos a revisar la configuración de su tarjeta para asegurarnos de que no haya problemas técnicos y le sugerimos probar nuevamente en una sucursal cercana mientras tanto.
Me cobraron una tarifa de transacción internacional que no fue claramente divulgada cuando usé mi tarjeta en el extranjero.,ATM_,El cliente se queja de tarifas de transacción internacional no divulgadas.,Neutro_,"Nos disculpamos por cualquier confusión respecto a las tarifas de transacción internacional. Proporcionaremos una desglose detallado de estas tarifas y revisaremos su caso para considerar un ajuste, asegurándonos de mejorar nuestra comunicación sobre tarifas en el futuro."
La funcionalidad de pago sin contacto de mi tarjeta dejó de funcionar repentinamente sin razón alguna.,ATM_,El cliente se queja de que la función de pago sin contacto de su tarjeta dejó de funcionar.,Negativo_,"Es importante que la funcionalidad de su tarjeta funcione correctamente. Verificaremos el estado de su tarjeta de débito y, si es necesario, emitiremos una reemplazo para asegurar que pueda utilizar la función de pago sin contacto sin inconvenientes."
He intentado varias veces activar mi nueva tarjeta de débito sin éxito. El proceso en línea y telefónico ha sido inútil.,ATM_,El cliente se queja de no poder activar su nueva tarjeta de débito.,Neutro_,"Lamentamos los problemas que ha encontrado al intentar activar su tarjeta. Podemos ayudarlo directamente con la activación; por favor, póngase en contacto con nuestro equipo de soporte al cliente para asistencia inmediata."
"El límite de retiro diario de mi tarjeta de débito fue reducido sin previo aviso, causándome problemas significativos.",ATM_,El cliente se queja de la reducción sin previo aviso del límite de retiro diario de su tarjeta.,Negativo_,Pedimos disculpas por no comunicarle sobre el cambio en su límite de retiro diario. Revisaremos su cuenta para ajustar el límite según sus necesidades y nos aseguraremos de mantenerlo informado sobre cualquier cambio futuro en su cuenta.
"Recibí un aviso de que mi tarjeta de débito estaba a punto de expirar, pero nunca me llegó la nueva tarjeta.",ATM_,El cliente se queja de no recibir su nueva tarjeta de débito antes de la expiración de la actual.,Neutro_,"Es esencial que reciba su nueva tarjeta de débito a tiempo. Verificaremos el estado de envío de su nueva tarjeta y, si es necesario, aceleraremos un reemplazo para asegurar que continúe teniendo acceso a sus fondos sin interrupción."
